"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","Create a Todo","","Fri Jun 27 10:33:18 UTC 2025","passed","Fri Jun 27 10:33:19 UTC 2025","","tests.TodoTests","tests.TodoTests","createTodoTest"
"","167","Create a Comment","","Fri Jun 27 10:33:16 UTC 2025","passed","Fri Jun 27 10:33:17 UTC 2025","","tests.CommentTests","tests.CommentTests","createCommentTest"
"","306","Update a User","","Fri Jun 27 10:33:17 UTC 2025","passed","Fri Jun 27 10:33:18 UTC 2025","","tests.UserTests","tests.UserTests","updateUserTest"
"","129","Delete a User","","Fri Jun 27 10:33:18 UTC 2025","passed","Fri Jun 27 10:33:18 UTC 2025","","tests.UserTests","tests.UserTests","deleteUserTest"
"","236","Get All Comments","","Fri Jun 27 10:33:17 UTC 2025","passed","Fri Jun 27 10:33:17 UTC 2025","","tests.CommentTests","tests.CommentTests","getAllCommentsTest"
"","2347","Delete a Comment","","Fri Jun 27 10:33:13 UTC 2025","passed","Fri Jun 27 10:33:16 UTC 2025","","tests.CommentTests","tests.CommentTests","deleteCommentTest"
"","307","Update a Comment","","Fri Jun 27 10:33:17 UTC 2025","passed","Fri Jun 27 10:33:17 UTC 2025","","tests.CommentTests","tests.CommentTests","updateCommentTest"
"","746","Get Comment by ID","","Fri Jun 27 10:33:16 UTC 2025","passed","Fri Jun 27 10:33:16 UTC 2025","","tests.CommentTests","tests.CommentTests","getCommentByIdTest"
"","79","Get a User by ID","","Fri Jun 27 10:33:18 UTC 2025","passed","Fri Jun 27 10:33:18 UTC 2025","","tests.UserTests","tests.UserTests","getUserTest"
"","278","Delete a Post","","Fri Jun 27 10:33:19 UTC 2025","passed","Fri Jun 27 10:33:19 UTC 2025","","tests.PostTests","tests.PostTests","deletePostTest"
"","287","Create a New Post","","Fri Jun 27 10:33:20 UTC 2025","passed","Fri Jun 27 10:33:20 UTC 2025","","tests.PostTests","tests.PostTests","createPostTest"
"","75","Get Todo by ID","","Fri Jun 27 10:33:19 UTC 2025","passed","Fri Jun 27 10:33:19 UTC 2025","","tests.TodoTests","tests.TodoTests","getTodoByIdTest"
"","289","Create a New User","","Fri Jun 27 10:33:18 UTC 2025","passed","Fri Jun 27 10:33:18 UTC 2025","","tests.UserTests","tests.UserTests","createUserTest"
"","125","Delete a Todo","","Fri Jun 27 10:33:19 UTC 2025","passed","Fri Jun 27 10:33:19 UTC 2025","","tests.TodoTests","tests.TodoTests","deleteTodoTest"
"","69","Get a Post by ID","","Fri Jun 27 10:33:19 UTC 2025","passed","Fri Jun 27 10:33:19 UTC 2025","","tests.PostTests","tests.PostTests","getPostTest"
"","287","Update a Post","","Fri Jun 27 10:33:19 UTC 2025","passed","Fri Jun 27 10:33:20 UTC 2025","","tests.PostTests","tests.PostTests","updatePostTest"
"","73","Get All Todos","","Fri Jun 27 10:33:19 UTC 2025","passed","Fri Jun 27 10:33:19 UTC 2025","","tests.TodoTests","tests.TodoTests","getAllTodosTest"
"","294","Update a Todo","","Fri Jun 27 10:33:18 UTC 2025","passed","Fri Jun 27 10:33:18 UTC 2025","","tests.TodoTests","tests.TodoTests","updateTodoTest"
